Date,Time,Block,import
03-05-2016,01:15-01:30,6,1056
03-05-2016,01:30-01:45,7,1060
03-05-2016,01:45-02:00,8,1052
03-05-2016,02:00-02:15,9,1048
03-05-2016,02:15-02:30,10,1032
03-05-2016,02:30-02:45,11,1032
03-05-2016,02:45-03:00,12,1020
03-05-2016,03:00-03:15,13,1012
03-05-2016,03:15-03:30,14,1000
03-05-2016,03:30-03:45,15,996
03-05-2016,03:45-04:00,16,992
03-05-2016,04:00-04:15,17,992
03-05-2016,04:15-04:30,18,984
03-05-2016,04:30-04:45,19,996
03-05-2016,04:45-05:00,20,992
03-05-2016,05:00-05:15,21,976
03-05-2016,05:15-05:30,22,980
03-05-2016,05:30-05:45,23,980
03-05-2016,05:45-06:00,24,976
03-05-2016,06:00-06:15,25,944
03-05-2016,06:15-06:30,26,964
03-05-2016,06:30-06:45,27,996
03-05-2016,06:45-07:00,28,996
03-05-2016,07:00-07:15,29,1008
03-05-2016,07:15-07:30,30,1068
03-05-2016,07:30-07:45,31,1184
03-05-2016,07:45-08:00,32,1244
03-05-2016,08:00-08:15,33,1272
03-05-2016,08:15-08:30,34,1264
03-05-2016,08:30-08:45,35,1264
03-05-2016,08:45-09:00,36,1312
03-05-2016,09:00-09:15,37,1332
03-05-2016,09:15-09:30,38,1344
03-05-2016,09:30-09:45,39,1300
03-05-2016,09:45-10:00,40,1280
03-05-2016,10:00-10:15,41,1312
03-05-2016,10:15-10:30,42,1348
03-05-2016,10:30-10:45,43,1340
03-05-2016,10:45-11:00,44,1528
03-05-2016,11:00-11:15,45,1452
03-05-2016,11:15-11:30,46,1448
03-05-2016,11:30-11:45,47,1436
03-05-2016,11:45-12:00,48,1468
03-05-2016,12:00-12:15,49,1460
03-05-2016,12:15-12:30,50,1472
03-05-2016,12:30-12:45,51,1488
03-05-2016,12:45-13:00,52,1464
03-05-2016,13:00-13:15,53,1440
03-05-2016,13:15-13:30,54,1444
03-05-2016,13:30-13:45,55,1448
03-05-2016,13:45-14:00,56,1460
03-05-2016,14:00-14:15,57,1464
03-05-2016,14:15-14:30,58,1480
03-05-2016,14:30-14:45,59,1472
03-05-2016,14:45-15:00,60,1480
03-05-2016,15:00-15:15,61,1452
03-05-2016,15:15-15:30,62,1476
03-05-2016,15:30-15:45,63,1508
03-05-2016,15:45-16:00,64,1468
03-05-2016,16:00-16:15,65,1500
03-05-2016,16:15-16:30,66,1488
03-05-2016,16:30-16:45,67,1504
03-05-2016,16:45-17:00,68,1476
03-05-2016,17:00-17:15,69,1476
03-05-2016,17:15-17:30,70,1508
03-05-2016,17:30-17:45,71,1508
03-05-2016,17:45-18:00,72,1484
03-05-2016,18:00-18:15,73,1620
03-05-2016,18:15-18:30,74,1716
03-05-2016,18:30-18:45,75,1724
03-05-2016,18:45-19:00,76,1700
03-05-2016,19:00-19:15,77,1680
03-05-2016,19:15-19:30,78,1664
03-05-2016,19:30-19:45,79,1660
03-05-2016,19:45-20:00,80,1624
03-05-2016,20:00-20:15,81,1584
03-05-2016,20:15-20:30,82,1444
03-05-2016,20:30-20:45,83,1384
03-05-2016,20:45-21:00,84,1360
03-05-2016,21:00-21:15,85,1300
03-05-2016,21:15-21:30,86,1312
03-05-2016,21:30-21:45,87,1316
03-05-2016,21:45-22:00,88,1316
03-05-2016,22:00-22:15,89,1296
03-05-2016,22:15-22:30,90,1296
03-05-2016,22:30-22:45,91,1264
03-05-2016,22:45-23:00,92,1244
03-05-2016,23:00-23:15,93,1220
03-05-2016,23:15-23:30,94,1192
03-05-2016,23:30-23:45,95,1168
03-05-2016,23:45-00:00,96,1172
04-05-2016,00:00-00:15,1,1136
04-05-2016,00:15-00:30,2,1112
04-05-2016,00:30-00:45,3,1112
04-05-2016,00:45-01:00,4,1092
04-05-2016,01:00-01:15,5,1060
04-05-2016,01:15-01:30,6,1052
04-05-2016,01:30-01:45,7,1068
04-05-2016,01:45-02:00,8,1064
04-05-2016,02:00-02:15,9,1048
04-05-2016,02:15-02:30,10,1036
04-05-2016,02:30-02:45,11,1008
04-05-2016,02:45-03:00,12,1004
04-05-2016,03:00-03:15,13,1004
04-05-2016,03:15-03:30,14,1004
04-05-2016,03:30-03:45,15,1012
04-05-2016,03:45-04:00,16,1000
04-05-2016,04:00-04:15,17,1000
04-05-2016,04:15-04:30,18,996
04-05-2016,04:30-04:45,19,992
04-05-2016,04:45-05:00,20,992
04-05-2016,05:00-05:15,21,992
04-05-2016,05:15-05:30,22,972
04-05-2016,05:30-05:45,23,960
04-05-2016,05:45-06:00,24,964
04-05-2016,06:00-06:15,25,936
04-05-2016,06:15-06:30,26,972
04-05-2016,06:30-06:45,27,1008
04-05-2016,06:45-07:00,28,1040
04-05-2016,07:00-07:15,29,1048
04-05-2016,07:15-07:30,30,1080
04-05-2016,07:30-07:45,31,1164
04-05-2016,07:45-08:00,32,1232
04-05-2016,08:00-08:15,33,1296
