,Point.Forecast,Lo.90,Hi.90,Lo.95,Hi.95
41547,2217.530197,-1318.656367,5753.716761,-1996.095985,6431.156379
41548,2217.530197,-1323.592072,5758.652466,-2001.97724,6437.037634
41549,2217.530197,-1328.520906,5763.5813,-2007.850308,6442.910702
41550,2217.530197,-1333.442899,5768.503293,-2013.715225,6448.775619
41551,2217.530197,-1338.358079,5773.418474,-2019.572023,6454.632417
41552,2217.530197,-1343.266475,5778.326869,-2025.420737,6460.481131
41553,2217.530197,-1348.168114,5783.228508,-2031.2614,6466.321794
41554,2217.530197,-1353.063024,5788.123418,-2037.094045,6472.154439
41555,2217.530197,-1357.951232,5793.011626,-2042.918705,6477.979099
41556,2217.530197,-1362.832767,5797.893161,-2048.735413,6483.795807
41557,2217.530197,-1367.707656,5802.76805,-2054.5442,6489.604595
41558,2217.530197,-1372.575925,5807.636319,-2060.345101,6495.405495
41559,2217.530197,-1377.437601,5812.497995,-2066.138145,6501.19854
41560,2217.530197,-1382.292712,5817.353106,-2071.923367,6506.983761
41561,2217.530197,-1387.141283,5822.201677,-2077.700795,6512.76119
41562,2217.530197,-1391.983341,5827.043735,-2083.470464,6518.530858
41563,2217.530197,-1396.818913,5831.879307,-2089.232403,6524.292797
41564,2217.530197,-1401.648023,5836.708417,-2094.986643,6530.047037
41565,2217.530197,-1406.470699,5841.531093,-2100.733216,6535.79361
41566,2217.530197,-1411.286966,5846.34736,-2106.472151,6541.532545
41567,2217.530197,-1416.096848,5851.157242,-2112.20348,6547.263874
41568,2217.530197,-1420.900372,5855.960766,-2117.927232,6552.987626
41569,2217.530197,-1425.697563,5860.757957,-2123.643437,6558.703831
41570,2217.530197,-1430.488446,5865.54884,-2129.352126,6564.41252
41571,2217.530197,-1435.273044,5870.333438,-2135.053327,6570.113721
41572,2217.530197,-1440.051384,5875.111779,-2140.74707,6575.807464
41573,2217.530197,-1444.82349,5879.883884,-2146.433385,6581.493779
41574,2217.530197,-1449.589386,5884.64978,-2152.1123,6587.172694
41575,2217.530197,-1454.349095,5889.409489,-2157.783844,6592.844238
41576,2217.530197,-1459.102643,5894.163037,-2163.448045,6598.508439
41577,2217.530197,-1463.850053,5898.910447,-2169.104933,6604.165327
41578,2217.530197,-1468.591349,5903.651743,-2174.754535,6609.814929
41579,2217.530197,-1473.326554,5908.386948,-2180.39688,6615.457274
41580,2217.530197,-1478.055691,5913.116086,-2186.031995,6621.092389
41581,2217.530197,-1482.778785,5917.839179,-2191.659908,6626.720302
41582,2217.530197,-1487.495858,5922.556252,-2197.280647,6632.341041
41583,2217.530197,-1492.206933,5927.267327,-2202.894239,6637.954633
41584,2217.530197,-1496.912033,5931.972427,-2208.500711,6643.561105
41585,2217.530197,-1501.61118,5936.671574,-2214.100091,6649.160485
41586,2217.530197,-1506.304397,5941.364791,-2219.692404,6654.752798
41587,2217.530197,-1510.991707,5946.052101,-2225.277678,6660.338072
